Date,Strain Score,Skin Temperature,Avg Heart Rate,Heart Rate Variability,Max Heart Rate,Resting Heart Rate,Blood Oxygenation,Total Calories Burned,Recovery Score,Deep Sleep,Deep Sleep Percent,Light Sleep,Light Sleep Percent,Nap Count,Nap Sleep,REM Sleep,REM Sleep Percent,Sleep End Time,Sleep Score,Sleep Start Time,Time Awake,Time in Bed,Total Sleep,Sleep Consistency,Sleep Cycles,Sleep Disturbances,Sleep Disturbances / Hour,Sleep Disturbances Duration,Sleep Onset Latency,Sleep Respiratory Rate,Time Asleep Percent,Time Awake Percent
5/27/19,11.57088943,,89,,163,,,1932.143144,,,,,,,,,,,,,,,,,,,,,,,,
5/28/19,6.970105248,,68,60.179297,161,61,,1795.139874,41,0.899974444,17.59051527,3.166303889,61.88722053,1,2.782978611,1.04997,20.5222642,11.73333333,51,6.533333333,0.091663611,5.207905556,5.116248333,,3,3,0.576047313,5.449816667,0,16.552734,98.23991626,1.760083736
5/29/19,10.12339757,,72,64.79437,168,61,,2467.570376,53,1.333295833,22.39954292,3.602400556,60.52079655,,,1.016638611,17.07966052,19.9,86,13.63333333,0.324990556,6.277316667,5.952335,,3,4,0.637214946,9.93305,0,16.464844,94.82278635,5.177213651
5/30/19,6.233636304,,72,,147,,,1137.891372,,,,,,1,2.282435278,,,,,,,,,,,,,,,,,
6/1/19,9.068997123,,72,55.787873,158,64,,1846.321179,46,1.216633333,20.53542573,3.94128,66.52444948,,,0.766645278,12.94012479,6.733333333,95,-0.333333333,1.136078333,7.060629167,5.924558611,13,3,12,1.699565254,23.79928333,2.98325,16.992188,83.90969055,16.09030945
6/2/19,5.205753744,,77,,139,,,524.6011942,,,,,,,,,,,,,,,,,,,,,,,,
6/3/19,7.898759688,,72,45.94966,159,70,,1946.806519,37,1.3082975,20.27638372,4.085720556,63.32171219,1,2.774646389,1.058303611,16.40190409,6.316666667,80,-0.516666667,0.391656389,6.843969167,6.452321667,,4,9,1.31502638,18.34948333,0,17.460938,94.27735762,5.722642383
6/4/19,14.25323796,,74,60.504142,172,64,,3389.550408,54,2.074941667,23.91242084,5.74956,66.26012701,1,1.4746825,0.852753056,9.827452148,10.18333333,100,0.45,1.058301944,9.735549722,8.677254722,,3,17,1.746177718,36.21556667,2.983233333,16.582031,89.1295179,10.8704821
6/5/19,7.133047477,,67,105.67765,148,60,,2122.445626,69,0,0,1.433293056,80.76381867,2,5.932613056,0.341379167,19.23618133,5.766666667,26,3.583333333,0.408321944,2.182991111,1.774672222,29,1,3,1.374261207,8.449766667,0,16.347656,81.2953259,18.7046741
6/6/19,10.97012377,,73,75.017475,171,60,,2756.387102,63,0.599983333,16.94250378,2.316324444,65.40904301,,,0.624983056,17.6484532,14.55,75,10.8,0.2083275,3.749613333,3.541290833,24,2,4,1.066776663,6.933133333,0,17.109375,94.44403453,5.555965474
6/7/19,5.173134931,,67,77.27783,165,63,,1954.250824,53,0.933305833,24.08774823,2.483260556,64.09062594,,,0.458041667,11.82162583,12.68333333,42,8.45,0.358322778,4.232928611,3.874608056,30,2,3,0.708729174,6.949783333,2.483266667,16.845703,91.53487756,8.465122438
6/8/19,,,,,,,,,,,,,,1,6.307910278,,,,,,,,,,,,,,,,,
6/9/19,6.203353259,,64,150.60025,148,52,,1744.060801,96,0.449986944,14.7554294,2.041332222,66.93690532,1,6.141212222,0.558317222,18.30766528,4.483333333,82,0.733333333,0.708312778,3.757944722,3.049636389,39,1,7,1.862720321,14.88288333,0,15.878906,81.15161365,18.84838635
6/10/19,12.08009417,,69,45.280635,169,67,,3784.128105,32,0.599983056,18.41588401,2.382989722,73.14350284,,,0.274992222,8.44061315,14.05,100,10.31666667,0.4749875,3.732947222,3.257965,37,1,5,1.339424241,9.916416667,0,16.523438,87.27582256,12.72417744
6/11/19,13.52271576,,74,,169,,,3671.481714,,,,,,1,9.407829722,,,,,,,,,,,,,,,,,
6/12/19,,,,59.966434,,65,,,36,0.799978333,20.04315241,2.291326111,57.40830288,,,0.899975556,22.54854472,19.51666667,49,14.88333333,0.641649167,4.632922778,3.99128,13,2,7,1.510925249,12.88296667,1.983266667,16.171875,86.15024872,13.84975128
6/13/19,4.261014317,,63,,124,,,1047.849228,,,,,,1,1.116081389,,,,,,,,,,,,,,,,,
6/15/19,4.751741099,,66,,150,,,799.8323459,,,,,,,,,,,,,,,,,,,,,,,,
6/16/19,5.799970241,,68,63.93084,152,59,,2078.804206,47,1.583288611,21.94078753,4.599596389,63.73996907,,,1.033303611,14.3192434,11.21666667,74,3.316666667,0.683315278,7.899494444,7.216188611,,4,5,0.632951898,11.41635,1.483283333,16.875,91.34989631,8.650103695
6/17/19,10.58438076,,69,78.53069,166,57,,2943.969727,62,1.891613333,25.8748452,4.352376944,59.53493651,1,1.983006667,1.066636389,14.59021829,10.81666667,81,2.833333333,0.683313333,7.993935556,7.310626667,,4,15,1.876422432,32.24901667,1.4833,16.669922,91.45210831,8.547891695
6/18/19,,,,76.51185,,58,,,57,1.116634444,23.22551779,3.207836389,66.72162183,,,0.483320556,10.05286038,19.2,69,13.55,0.841643611,5.6494275,4.807791389,,2,9,1.593081777,22.34936667,0,16.582031,85.10216312,14.89783688
6/19/19,12.43127831,,72,86.55304,169,62,,2999.992298,69,1.441898611,21.23142324,3.9412775,58.03385209,,,1.408166111,20.73472467,17.78333333,73,10.65,0.349990278,7.141324722,6.791342222,23,5,10,1.400300419,20.83273333,0,15.966797,95.09909001,4.900909988
6/20/19,10.7332713,,71,65.368466,164,61,,2881.946104,41,0.858310556,19.14619106,3.182965556,71.00188418,1,0.949695556,0.441655,9.851924758,16.21666667,48,11.63333333,0.099997222,4.582921389,4.482931111,43,2,3,0.65460429,5.949833333,0,16.816406,97.81804962,2.181950381
6/21/19,5.739522006,,67,42.705134,156,65,,1884.781496,17,1.416627222,27.55416828,3.099635278,60.28958832,,,0.624982222,12.1562434,16.65,57,11.11666667,0.391655833,5.532891944,5.141244722,72,2,6,1.084423853,12.39963333,1.983283333,16.933594,92.92132889,7.078671113
6/22/19,,,,,,,,,,,,,,1,6.099551667,,,,,,,,,,,,,,,,,
6/24/19,5.205231107,,66,60.761392,140,63,,1959.240886,49,2.3832675,23.61750054,5.732896389,56.81136657,,,1.974944167,19.57113288,17.06666667,100,5.5,1.483290278,11.57438167,10.09110806,,5,18,1.55515867,38.6988,1.983283333,17.90039,87.18473103,12.81526897
6/25/19,11.97770302,,70,70.05949,159,59,,3787.38059,58,1.541621111,16.92638816,6.441208611,70.72191501,,,1.1249675,12.35169682,15,100,4.833333333,1.049971944,10.157755,9.107797222,49,5,13,1.279810352,24.28265,1.483283333,16.757812,89.66336085,10.33663915
6/26/19,5.466389975,,67,50.27775,147,68,,1813.080126,24,1.199965278,28.29263791,2.607977778,61.49058837,,,0.433320278,10.21677372,15.58333333,53,11.05,0.291658056,4.532918333,4.241263333,,3,7,1.544259015,15.88286667,1.483283333,16.582031,93.56578174,6.434218256
6/27/19,8.251847295,,70,42.548418,161,65,,2152.190637,22,1.508276944,25.38666909,3.966284722,66.75879925,,,0.466654722,7.854531659,16.3,62,9.633333333,0.724982222,6.666301944,5.941216389,57,3,9,1.35007386,19.34945,0,16.640625,89.12450312,10.87549688
6/28/19,11.65891494,,80,48.70276,157,61,,2910.493519,30,1.574953889,30.00157738,2.566592778,48.89148334,,,1.108023611,21.10693928,12.31666667,56,5.433333333,1.6249525,6.874518889,5.249570278,35,3,10,1.45464725,21.33273333,1.983266667,15.9375,76.36268651,23.63731349
6/30/19,8.260083954,,87,,164,,,1168.680516,,,,,,,,,,,,,,,,,,,,,,,,
7/1/19,6.224678688,,72,,152,,,955.6850922,,,,,,,,,,,,,,,,,,,,,,,,
7/2/19,13.38027548,,74,78.967184,155,58,,4905.921367,64,1.566625278,24.16557679,3.316298333,51.15471018,1,1.02747,1.599956111,24.67971302,7.95,68,0.783333333,0.683314444,7.166184444,6.482879722,,6,10,1.395442732,22.83266667,1.4833,16.582031,90.46475118,9.535248816
7/3/19,14.17108481,,76,,176,,,3965.710146,,,,,,1,2.699642778,,,,,,,,,,,,,,,,,
7/17/19,10.82884287,,75,69.99044,165,63,,2909.56177,75,1.083301389,19.84831471,3.449902778,63.20933098,,,0.924696944,16.94235432,17.11666667,66,10.5,1.149967222,6.607859722,5.457901111,,4,15,2.270023976,30.7491,2.48325,17.021484,82.59700157,17.40299843
7/18/19,7.809528108,,71,65.54315,152,64,,2521.550428,63,1.074691667,22.62687537,2.933287222,61.75829447,,,0.741645833,15.61483015,15.65,51,10.63333333,0.258326667,5.007945,4.749624722,,2,4,0.798730817,8.433116667,1.4833,17.167969,94.84166984,5.158330156
7/19/19,7.204577578,,68,61.676815,152,60,,2249.183786,60,0.849974444,15.08948829,3.341290833,59.31751151,,,1.441625833,25.5930002,16.98333333,58,10.76666667,0.59165,6.224532222,5.632891111,,2,7,1.124582499,12.38295,1.4833,16.933594,90.49488164,9.50511836
7/20/19,4.169873077,,68,81.62888,136,55,,1483.756246,72,0.674981111,18.83868141,2.566315,71.62569423,,,0.341656944,9.535624362,13.58333333,36,9.666666667,0.324991389,3.907939167,3.582953056,58,1,3,0.76766804,6.449816667,1.483283333,16.054688,91.68382782,8.316172185
7/21/19,5.43346602,,67,53.08556,168,65,,1258.095619,57,2.216605278,22.71627633,5.916226111,60.63083423,,,1.624953056,16.65288944,15.71666667,95,5.066666667,0.891641111,10.64940972,9.757784444,38,5,16,1.50243069,32.73236667,0,16.96289,91.62733139,8.372668614
7/24/19,10.15979689,,72,54.511253,160,61,,2712.519279,56,2.141603889,33.03483422,3.174629444,48.96954005,,,1.166632222,17.99562573,17.96666667,81,10.81666667,0.658313889,7.141174444,6.482865556,,5,11,1.540362875,24.8159,1.483283333,16.464844,90.78144032,9.218559679
7/25/19,10.33082297,,73,74.15729,163,59,,2411.528432,87,1.6332875,22.47791655,4.949862778,68.12187226,,,0.683036944,9.400211191,18.76666667,82,10.51666667,0.983305556,8.249481667,7.266187222,,2,17,2.060735533,35.71561667,0.9833,16.523438,88.08041195,11.91958805
7/26/19,10.9254094,,68,58.432747,170,58,,2531.007493,55,2.058275278,24.97556724,4.499593056,54.59905685,,,1.683286944,20.42537591,19.66666667,93,10.56666667,0.866643056,9.107786111,8.241155278,,6,8,0.878369332,16.86618333,0.9833,16.611328,90.48460425,9.51539575
7/27/19,12.44350697,,72,,160,,,2989.699413,,,,,,2,4.260540278,,,,,,,,,,,,,,,,,
9/1/19,4.203563348,,66,,140,,,347.4880532,,,,,,,,,,,,,,,,,,,,,,,,
9/2/19,7.438210926,,66,70.758134,145,57,,2021.258907,48,0.899975556,20.37782905,2.891484167,65.47085605,1,8.463288056,0.624985,14.1513149,16.26666667,53,11.41666667,0.441653889,4.858092778,4.416444722,,1,8,1.646736768,19.86608333,0,17.050781,90.9089147,9.091085304
9/4/19,6.882283482,,64,61.29047,162,64,,1166.680827,48,0.283324444,29.74625936,0.669146389,70.25374064,1,4.6184775,0,0,4.883333333,81,3.883333333,0.049998889,1.002468889,0.952470833,,0,1,0.997537192,2.98325,0,16.40625,95.01242903,4.987570974
9/17/19,12.87006561,,79,96.041285,161,56,,3414.589993,67,0.824977222,16.52773525,3.64151,72.95463629,,,0.524984444,10.51762846,8.533333333,58,2.916666667,0.624982222,5.616445,4.991471667,,1,13,2.314631408,27.2825,1.4833,16.523438,88.87229853,11.12770147
9/18/19,6.199076565,,68,38.08984,161,68,,2277.082337,31,1.574954444,22.44744572,4.599588611,65.55682678,,,0.8416425,11.9957275,8.283333333,72,0.783333333,0.474985833,7.491160556,7.016185556,,1,9,1.20141598,20.84936667,1.483283333,17.490234,93.65939172,6.34060828
9/19/19,9.692375689,,71,64.94587,150,61,,2545.954921,54,1.883280833,19.98247094,5.833098889,61.8918469,,,1.708284722,18.12568216,14.3,100,4.15,0.724978611,10.14962944,9.424664444,,7,20,1.970515289,41.66543333,1.483283333,15.761719,92.85710239,7.142897609
9/20/19,10.42390932,,71,60.055904,162,62,,2778.765414,46,1.058303889,18.30059853,4.041274167,69.88326967,,,0.683314167,11.8161318,16.11666667,73,10.11666667,0.208326944,5.991215278,5.782892222,17,3,5,0.834555223,12.41628333,0,16.757812,96.52279547,3.477204533
9/21/19,7.544334034,,69,65.68176,152,68,,2453.661596,44,1.249965556,27.17482493,2.724645,59.23503296,,,0.625108333,13.5901421,14.91666667,51,9.716666667,0.599981667,5.199693333,4.599718889,45,5,7,1.346233239,15.38283333,0,17.109375,88.46122656,11.53877344
9/22/19,7.046206356,,70,66.965476,152,61,,1487.637638,51,1.541621111,25.79115545,3.802667222,63.61821382,1,1.284131389,0.633036389,10.59063073,16.61666667,71,10.05,0.591649444,6.568965833,5.977324722,67,1,10,1.522309638,20.83271667,1.983266667,16.875,90.99327491,9.00672509
9/24/19,8.152294346,,70,48.551913,160,61,,2028.826332,40,1.283296389,22.61489345,2.866588333,50.51645925,1,2.757978889,1.524678333,26.8686473,7.966666667,61,2.033333333,0.266659167,5.941212222,5.674563056,12,3,7,1.178210732,14.38288333,1.4833,16.582031,95.51171196,4.488288044
9/25/19,5.268183135,,66,62.903866,162,60,,1367.944779,64,0.458319722,9.136714336,3.416565833,68.1100649,1,2.899637778,1.141356667,22.75322076,10.8,76,5.416666667,0.375258333,5.391495833,5.016242222,31,3,7,1.298340983,14.88286667,1.483283333,16.40625,93.03981648,6.960183523
10/22/19,4.526783562,,70,,137,,,390.7197037,,,,,,,,,,,,,,,,,,,,,,,,
10/23/19,6.19201951,,67,65.644614,157,68,,2680.048576,53,1.191663056,15.46002433,5.733035,74.37745104,1,3.033045833,0.783330278,10.16252463,1.733333333,92,-6.533333333,0.566664722,8.274448611,7.708028333,,3,15,1.812809615,29.24988333,0,16.699219,93.15183393,6.84816607
10/24/19,10.13568446,,70,45.440983,173,65,,3371.345826,36,0.841663889,22.44611951,2.483045556,66.21970838,1,3.524709722,0.424998333,11.33417211,4.6,74,0.766666667,0.075,3.824707778,3.749707778,,1,2,0.522915767,4.466666667,0,17.43164,98.03906587,1.960934125
10/25/19,9.832892607,,76,,163,,,2420.263579,,0.691664167,13.49730687,3.316133611,64.71185748,,,1.116662778,21.79083565,20.71666667,58,15.15,0.433331389,5.557791389,5.124460556,53,3,6,1.079565529,12.39995,1.983316667,17.753906,92.20317361,7.796826388
10/26/19,4.355811922,,68,40.26517,144,68,,1781.719142,30,,,,,1,4.899461667,,,,,,,,,,,,,,,,,
10/29/19,7.676954067,,67,74.04361,158,58,,2601.870827,59,2.099938889,23.77432926,5.274569722,59.71571742,,,1.458291111,16.50995332,6.25,95,-3.35,0.696925833,9.602210556,8.832799722,,4,16,1.666282978,40.89883333,0,16.347656,92.68682157,7.313178425
10/30/19,11.61901835,,72,67.35368,163,60,,2700.08888,35,0.233048333,14.34430721,0.883307222,54.36825047,1,8.374466389,0.508319167,31.28744232,3.4,20,1.55,0.224993056,1.849666667,1.624674722,,1,5,2.703189764,13.41625,0,15.703125,87.83602881,12.16397119
10/31/19,6.932937074,,71,72.88601,160,69,,1741.68183,59,0.733311944,22.73999034,1.958276389,60.72611596,,,0.533179722,16.5338937,14.46666667,100,11.1,0.1416625,3.366427778,3.224768056,,1,4,1.188203123,8.433083333,0,17.768555,95.79190785,4.208092152
11/1/19,5.980823829,,73,73.3408,159,60,,1714.113312,38,0.191661667,15.43975586,1.04969,84.56024414,1,3.932939167,0,0,5.916666667,16,4.566666667,0.116663056,1.358013889,1.241351667,49,0,3,2.209108482,6.949783333,0,15.556641,91.40929375,8.590706245
11/2/19,1.126127808,,65,84.35492,114,63,,704.4723832,93,1.716617222,25.97840082,3.924607778,59.39299256,,,0.966638333,14.62860662,5.266666667,93,-1.766666667,0.424987222,7.032840833,6.607863333,34,3,11,1.564090566,22.81595,2.48325,17.226562,93.95711285,6.042887146
11/3/19,4.239084254,,74,,151,,,613.3948011,,,,,,,,,,,,,,,,,,,,,,,,
11/4/19,9.554935318,,74,47.20724,159,64,,2370.418045,49,1.741617778,21.77157992,5.249578056,65.62381807,,,1.008305278,12.60460201,10.71666667,99,1.883333333,0.824978333,8.8244675,7.999501111,20,5,15,1.699819281,32.2491,0,16.347656,90.65125214,9.348747861
11/5/19,9.953504091,,72,83.158046,153,61,,2717.134377,66,0.166384167,19.58156378,0.649981667,76.49560481,1,7.349684722,0.033332222,3.922831411,5.016666667,11,4.016666667,0.158329167,1.008025278,0.849698056,,1,1,0.992038615,1.983283333,0,16.201172,84.29316558,15.70683442
11/6/19,7.06891627,,71,49.30835,154,68,,1557.885952,52,1.416625556,18.93165848,4.966521667,66.37215576,,,1.099691944,14.69618577,17.71666667,100,9.716666667,0.516651111,7.999479444,7.482839167,,5,10,1.250081342,21.33268333,1.483283333,16.875,93.5414496,6.458550397
11/7/19,5.409149888,,70,49.265794,137,63,,1388.292243,42,0.933305,21.0526296,3.041574722,68.60902495,,,0.458319444,10.33834545,15.75,57,11,0.308323889,4.741518889,4.433199167,39,1,8,1.687223058,16.86613333,1.483283333,16.904297,93.49736603,6.50263397
11/8/19,4.440685087,,73,,134,,,1376.711669,,,,,,1,2.433093056,,,,,,,,,,,,,,,,,
